TechnicalControls,SecurityAwareness,PolicyCompliance,PrivilegedAccess,JobDissatisfaction,ConcerningBehaviour,InsiderThreatIncident,MonitoringAlert
adequate,medium,poor,excessive,low,no,yes,no
weak,high,good,appropriate,medium,no,no,yes
adequate,medium,good,appropriate,low,yes,no,yes
adequate,low,poor,excessive,high,yes,yes,yes
adequate,medium,poor,excessive,medium,no,yes,no
adequate,medium,poor,appropriate,medium,no,no,no
adequate,medium,good,appropriate,low,no,no,no
weak,low,good,excessive,medium,yes,yes,no
weak,low,poor,excessive,low,no,yes,yes
weak,high,poor,excessive,low,no,no,yes
weak,low,poor,excessive,low,no,yes,no
adequate,medium,poor,excessive,medium,no,yes,no
adequate,high,good,appropriate,medium,no,yes,no
adequate,low,poor,appropriate,medium,no,no,no
weak,medium,poor,excessive,high,no,no,yes
weak,medium,good,appropriate,medium,yes,yes,no
weak,medium,good,appropriate,medium,yes,yes,yes
weak,medium,poor,excessive,low,no,yes,yes
adequate,medium,good,appropriate,medium,no,no,no
adequate,low,poor,excessive,medium,no,no,no
adequate,high,good,excessive,medium,yes,yes,yes
adequate,medium,good,appropriate,medium,no,yes,no
weak,medium,poor,excessive,high,no,no,no
adequate,medium,good,appropriate,medium,yes,no,no
adequate,low,good,excessive,medium,no,yes,no
weak,medium,poor,appropriate,medium,yes,yes,yes
weak,low,poor,excessive,medium,no,yes,no
weak,medium,good,excessive,low,no,yes,no
weak,medium,poor,excessive,medium,no,yes,no
adequate,low,poor,excessive,medium,no,no,no
adequate,high,good,appropriate,low,no,no,no
adequate,low,poor,excessive,medium,no,no,no
weak,medium,good,appropriate,medium,no,yes,no
adequate,high,poor,excessive,medium,no,no,no
adequate,medium,poor,excessive,medium,no,yes,no
adequate,high,good,appropriate,medium,yes,no,no
weak,medium,good,appropriate,medium,no,no,no
adequate,medium,good,appropriate,high,yes,yes,yes
weak,low,good,appropriate,low,no,no,no
adequate,medium,good,appropriate,high,yes,no,no
adequate,medium,poor,excessive,high,no,no,no
adequate,high,good,appropriate,high,no,no,no
weak,low,poor,excessive,low,no,yes,no
weak,high,good,appropriate,high,no,yes,yes
adequate,high,poor,appropriate,high,no,no,no
weak,low,poor,appropriate,high,yes,yes,yes
adequate,low,good,appropriate,medium,no,no,no
adequate,medium,good,appropriate,high,no,no,no
weak,high,good,appropriate,low,no,no,no
adequate,medium,poor,excessive,medium,no,yes,no
adequate,low,poor,appropriate,low,no,no,no
adequate,medium,poor,excessive,medium,yes,no,yes
adequate,low,poor,excessive,medium,no,no,no
adequate,low,poor,appropriate,low,no,no,no
adequate,medium,good,appropriate,medium,no,no,no
adequate,low,poor,excessive,medium,no,no,no
adequate,medium,poor,excessive,medium,no,no,no
adequate,medium,good,appropriate,medium,no,no,no
adequate,medium,poor,appropriate,medium,yes,no,no
adequate,high,good,appropriate,low,no,no,no
weak,medium,poor,excessive,medium,yes,yes,yes
adequate,medium,poor,excessive,low,no,no,no
adequate,medium,good,appropriate,medium,yes,no,no
adequate,medium,poor,excessive,low,no,no,yes
adequate,high,good,appropriate,high,yes,no,yes
adequate,medium,poor,appropriate,medium,no,no,no
adequate,high,good,appropriate,low,no,no,no
adequate,low,poor,excessive,medium,yes,yes,yes
adequate,high,good,appropriate,medium,no,no,no
weak,low,good,appropriate,high,no,no,yes
adequate,medium,good,appropriate,low,no,no,no
adequate,high,good,excessive,low,no,no,no
adequate,low,poor,appropriate,high,yes,no,no
adequate,high,good,appropriate,medium,yes,no,no
adequate,medium,poor,appropriate,medium,no,no,no
adequate,medium,poor,appropriate,medium,no,no,no
adequate,low,poor,excessive,medium,no,no,no
adequate,low,good,appropriate,low,no,no,no
adequate,medium,good,appropriate,medium,no,no,no
adequate,high,good,excessive,medium,no,yes,no
adequate,medium,good,appropriate,low,no,no,no
adequate,low,poor,excessive,high,no,yes,no
adequate,medium,poor,excessive,low,no,yes,no
adequate,medium,good,appropriate,medium,no,no,no
weak,low,good,appropriate,medium,no,no,yes
weak,low,poor,excessive,high,no,no,no
weak,low,poor,appropriate,high,no,no,no
adequate,low,poor,appropriate,medium,no,no,no
weak,low,poor,excessive,low,no,yes,yes
