seed,Model,AUC,Accuracy
42,Original BN + noisy-OR CPT,0.7132519222071461,0.64
42,Learned BN HC,0.6999095431931254,0.64
42,Naive Bayes,0.716644052464948,0.65
43,Original BN + noisy-OR CPT,0.7593582887700534,0.7
43,Learned BN HC,0.7593582887700535,0.7
43,Naive Bayes,0.8143939393939394,0.73
44,Original BN + noisy-OR CPT,0.7009803921568628,0.65
44,Learned BN HC,0.5918003565062389,0.64
44,Naive Bayes,0.6989750445632799,0.69
45,Original BN + noisy-OR CPT,0.6784260515603799,0.6
45,Learned BN HC,0.6060606060606061,0.65
45,Naive Bayes,0.6492537313432836,0.63
46,Original BN + noisy-OR CPT,0.7107077205882353,0.65
46,Learned BN HC,0.6985294117647058,0.65
46,Naive Bayes,0.6941636029411764,0.67
47,Original BN + noisy-OR CPT,0.7619485294117647,0.71
47,Learned BN HC,0.7734375,0.74
47,Naive Bayes,0.7982536764705882,0.72
48,Original BN + noisy-OR CPT,0.764934434191355,0.69
48,Learned BN HC,0.763963088878096,0.7
48,Naive Bayes,0.7248664400194269,0.67
49,Original BN + noisy-OR CPT,0.8129960317460317,0.77
49,Learned BN HC,0.7390873015873016,0.75
49,Naive Bayes,0.7998511904761905,0.75
50,Original BN + noisy-OR CPT,0.7729670329670328,0.7
50,Learned BN HC,0.7736263736263737,0.72
50,Naive Bayes,0.8041758241758241,0.72
51,Original BN + noisy-OR CPT,0.7040673211781207,0.71
51,Learned BN HC,0.573632538569425,0.62
51,Naive Bayes,0.6699392239364189,0.67
52,Original BN + noisy-OR CPT,0.7495659722222222,0.65
52,Learned BN HC,0.7161458333333333,0.73
52,Naive Bayes,0.7361111111111112,0.72
53,Original BN + noisy-OR CPT,0.7722816399286987,0.74
53,Learned BN HC,0.7941176470588235,0.74
53,Naive Bayes,0.8119429590017825,0.75
54,Original BN + noisy-OR CPT,0.6971428571428572,0.69
54,Learned BN HC,0.6928571428571428,0.73
54,Naive Bayes,0.669047619047619,0.75
55,Original BN + noisy-OR CPT,0.7653769841269842,0.72
55,Learned BN HC,0.7242063492063493,0.71
55,Naive Bayes,0.8023313492063492,0.72
56,Original BN + noisy-OR CPT,0.7300091911764705,0.66
56,Learned BN HC,0.5850183823529411,0.66
56,Naive Bayes,0.7143841911764706,0.74
57,Original BN + noisy-OR CPT,0.7901402080506559,0.68
57,Learned BN HC,0.7360922659430121,0.77
57,Naive Bayes,0.7510176390773406,0.69
58,Original BN + noisy-OR CPT,0.7751782531194296,0.75
58,Learned BN HC,0.8057040998217468,0.77
58,Naive Bayes,0.7974598930481284,0.76
59,Original BN + noisy-OR CPT,0.7642602495543671,0.69
59,Learned BN HC,0.7923351158645277,0.78
59,Naive Bayes,0.8226381461675579,0.78
60,Original BN + noisy-OR CPT,0.8016493055555556,0.66
60,Learned BN HC,0.8216145833333334,0.81
60,Naive Bayes,0.8153211805555555,0.78
61,Original BN + noisy-OR CPT,0.7988095238095239,0.75
61,Learned BN HC,0.7828571428571428,0.79
61,Naive Bayes,0.7342857142857142,0.72
62,Original BN + noisy-OR CPT,0.8139317438055167,0.72
62,Learned BN HC,0.6961196820944366,0.74
62,Naive Bayes,0.7643758765778401,0.7
63,Original BN + noisy-OR CPT,0.7564285714285715,0.7
63,Learned BN HC,0.7664285714285715,0.75
63,Naive Bayes,0.785952380952381,0.77
64,Original BN + noisy-OR CPT,0.7014960261804583,0.72
64,Learned BN HC,0.7388966806919121,0.75
64,Naive Bayes,0.7155212716222533,0.72
65,Original BN + noisy-OR CPT,0.7947619047619047,0.72
65,Learned BN HC,0.7357142857142857,0.75
65,Naive Bayes,0.7366666666666667,0.72
66,Original BN + noisy-OR CPT,0.7977173385138417,0.73
66,Learned BN HC,0.7015541525012142,0.75
66,Naive Bayes,0.7503642544924721,0.78
67,Original BN + noisy-OR CPT,0.7183333333333333,0.66
67,Learned BN HC,0.6957142857142857,0.66
67,Naive Bayes,0.6788095238095239,0.69
68,Original BN + noisy-OR CPT,0.7972370766488414,0.7
68,Learned BN HC,0.7818627450980392,0.72
68,Naive Bayes,0.8114973262032085,0.73
69,Original BN + noisy-OR CPT,0.8437358661239258,0.75
69,Learned BN HC,0.8749434644957033,0.75
69,Naive Bayes,0.855495251017639,0.79
70,Original BN + noisy-OR CPT,0.8226373626373626,0.73
70,Learned BN HC,0.8173626373626374,0.73
70,Naive Bayes,0.8032967032967032,0.73
71,Original BN + noisy-OR CPT,0.8450520833333334,0.77
71,Learned BN HC,0.8324652777777778,0.74
71,Naive Bayes,0.7838541666666665,0.72
