n,seed,Algorithm,TP,FP,FN,Precision,Recall,SkeletonF1,DirectedF1,Hamming,StructuralHamming
100,42,HillClimb,6,0,2,1.0,0.75,0.8571428571428571,0.5714285714285715,2,5
100,42,MIIC,6,0,2,1.0,0.75,0.8571428571428571,0.28571428571428575,2,5
500,42,HillClimb,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.5882352941176471,1,3
500,42,MIIC,8,0,0,1.0,1.0,1.0,1.0,0,0
1000,42,HillClimb,8,2,0,0.8,1.0,0.888888888888889,0.11111111111111112,2,7
1000,42,MIIC,8,0,0,1.0,1.0,1.0,1.0,0,0
100,43,HillClimb,6,1,2,0.8571428571428571,0.75,0.7999999999999999,0.26666666666666666,3,6
100,43,MIIC,6,1,2,0.8571428571428571,0.75,0.7999999999999999,0.5333333333333333,3,6
500,43,HillClimb,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.47058823529411764,1,2
500,43,MIIC,8,0,0,1.0,1.0,1.0,1.0,0,0
1000,43,HillClimb,8,0,0,1.0,1.0,1.0,0.5,0,1
1000,43,MIIC,8,0,0,1.0,1.0,1.0,1.0,0,0
100,44,HillClimb,5,0,3,1.0,0.625,0.7692307692307693,0.4615384615384615,3,5
100,44,MIIC,5,0,3,1.0,0.625,0.7692307692307693,0.3076923076923077,3,7
500,44,HillClimb,8,0,0,1.0,1.0,1.0,0.5,0,1
500,44,MIIC,8,0,0,1.0,1.0,1.0,0.875,0,1
1000,44,HillClimb,8,0,0,1.0,1.0,1.0,0.875,0,0
1000,44,MIIC,8,0,0,1.0,1.0,1.0,1.0,0,0
100,45,HillClimb,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.23529411764705882,3,6
100,45,MIIC,7,1,1,0.875,0.875,0.875,0.625,2,4
500,45,HillClimb,8,0,0,1.0,1.0,1.0,0.5,0,1
500,45,MIIC,8,0,0,1.0,1.0,1.0,1.0,0,0
1000,45,HillClimb,8,2,0,0.8,1.0,0.888888888888889,0.33333333333333326,2,6
1000,45,MIIC,8,0,0,1.0,1.0,1.0,1.0,0,0
100,46,HillClimb,6,1,2,0.8571428571428571,0.75,0.7999999999999999,0.13333333333333333,3,6
100,46,MIIC,6,1,2,0.8571428571428571,0.75,0.7999999999999999,0.5333333333333333,3,6
500,46,HillClimb,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.23529411764705882,1,6
500,46,MIIC,8,0,0,1.0,1.0,1.0,0.875,0,1
1000,46,HillClimb,8,0,0,1.0,1.0,1.0,0.875,0,0
1000,46,MIIC,8,0,0,1.0,1.0,1.0,1.0,0,0
100,47,HillClimb,5,1,3,0.8333333333333334,0.625,0.7142857142857143,0.28571428571428575,4,6
100,47,MIIC,6,1,2,0.8571428571428571,0.75,0.7999999999999999,0.39999999999999997,3,7
500,47,HillClimb,8,0,0,1.0,1.0,1.0,0.625,0,2
500,47,MIIC,8,0,0,1.0,1.0,1.0,0.875,0,2
1000,47,HillClimb,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.47058823529411764,1,3
1000,47,MIIC,8,0,0,1.0,1.0,1.0,0.875,0,2
100,48,HillClimb,5,0,3,1.0,0.625,0.7692307692307693,0.6153846153846154,3,6
100,48,MIIC,6,0,2,1.0,0.75,0.8571428571428571,0.28571428571428575,2,6
500,48,HillClimb,7,0,1,1.0,0.875,0.9333333333333333,0.5333333333333333,1,3
500,48,MIIC,7,0,1,1.0,0.875,0.9333333333333333,0.6666666666666666,1,3
1000,48,HillClimb,8,0,0,1.0,1.0,1.0,0.625,0,0
1000,48,MIIC,8,0,0,1.0,1.0,1.0,1.0,0,0
100,49,HillClimb,4,1,4,0.8,0.5,0.6153846153846154,0.4615384615384615,5,6
100,49,MIIC,4,1,4,0.8,0.5,0.6153846153846154,0.4615384615384615,5,6
500,49,HillClimb,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.47058823529411764,1,6
500,49,MIIC,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.823529411764706,1,2
1000,49,HillClimb,8,2,0,0.8,1.0,0.888888888888889,0.11111111111111112,2,7
1000,49,MIIC,8,0,0,1.0,1.0,1.0,1.0,0,0
100,50,HillClimb,4,3,4,0.5714285714285714,0.5,0.5333333333333333,0.0,7,9
100,50,MIIC,6,2,2,0.75,0.75,0.75,0.25,4,9
500,50,HillClimb,8,0,0,1.0,1.0,1.0,0.375,0,3
500,50,MIIC,7,0,1,1.0,0.875,0.9333333333333333,0.6666666666666666,1,3
1000,50,HillClimb,8,0,0,1.0,1.0,1.0,0.625,0,0
1000,50,MIIC,8,0,0,1.0,1.0,1.0,1.0,0,0
100,51,HillClimb,7,0,1,1.0,0.875,0.9333333333333333,0.5333333333333333,1,1
100,51,MIIC,7,1,1,0.875,0.875,0.875,0.75,2,3
500,51,HillClimb,8,2,0,0.8,1.0,0.888888888888889,0.11111111111111112,2,7
500,51,MIIC,8,0,0,1.0,1.0,1.0,1.0,0,0
1000,51,HillClimb,8,0,0,1.0,1.0,1.0,0.75,0,0
1000,51,MIIC,8,0,0,1.0,1.0,1.0,1.0,0,0
100,52,HillClimb,6,1,2,0.8571428571428571,0.75,0.7999999999999999,0.26666666666666666,3,6
100,52,MIIC,6,2,2,0.75,0.75,0.75,0.5,4,8
500,52,HillClimb,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.23529411764705882,3,9
500,52,MIIC,8,0,0,1.0,1.0,1.0,0.875,0,1
1000,52,HillClimb,8,0,0,1.0,1.0,1.0,0.5,0,2
